intervention_timestamp,amount,currency,payment_method,transaction_hour,transaction_day,amount_relative_to_customer_average,error_code,root_cause_diagnosis,previous_failure_count,total_previous_payments,successful_payments,failed_payments,historical_success_rate,customer_tenure,average_transaction_amount,previous_intervention_count,previous_successful_recoveries,historical_recovery_rate,time_since_last_intervention,subscription_status,previous_subscription_failures,recovered
2026-06-06T06:38:13.262846,2457.18,INR,upi,6,5,2.8394700259795678,auth_failure,MANDATE_ISSUE,5,9,7,2,0.8824265048397831,451,865.3657117413364,5,1,0.2,554.4831602942429,NONE,0,1
2026-04-01T15:48:15.655090,390.88,INR,wallet,15,2,0.39922352257010635,insufficient_funds,HARD_DECLINE,1,94,84,10,0.8968771098457486,766,979.1006238400164,1,0,0.0,119.66716173532284,NONE,0,0
2026-03-29T03:46:58.520072,6066.73,INR,upi,3,6,56.077181243333804,invalid_card,HARD_DECLINE,1,59,47,12,0.8043309926659886,888,108.18535927608139,1,0,0.0,601.3009478218152,NONE,0,0
2026-06-20T20:01:52.345119,4382.66,INR,netbanking,20,5,19.992132214695033,issuer_down,TRANSIENT,0,79,49,30,0.6308248899193772,21,219.2192384951599,0,0,0.0,,NONE,0,0
2025-09-27T13:22:45.081217,1938.92,INR,upi,13,5,5.196342371523042,none,ABANDONMENT,0,86,76,10,0.8946390044903718,590,373.1316879014084,0,0,0.0,,NONE,0,0
2025-09-15T21:55:54.104425,179.34,INR,upi,21,0,1.2785675038609816,none,ABANDONMENT,3,58,42,16,0.7366643757381207,651,140.2663523501373,3,0,0.0,613.3817620538996,NONE,0,0
2026-03-05T04:18:20.926072,2977.83,INR,upi,4,3,0.6859717257628968,network_error,TRANSIENT,8,23,20,3,0.8789237704797753,333,4341.038978958259,8,2,0.25,13.397903471479953,NONE,0,0
2025-12-19T01:25:17.367334,1202.72,INR,upi,1,4,0.8467276172759883,timeout,TRANSIENT,3,39,34,5,0.8734796974460186,278,1420.4331776366012,3,2,0.6666666666666666,378.21390888908905,NONE,0,1
2026-08-15T23:42:47.677897,778.95,INR,upi,23,5,1.4443744188161411,timeout,TRANSIENT,1,70,48,22,0.6965506047538316,56,539.2992217616636,1,0,0.0,620.578811567182,NONE,0,1
2026-07-20T08:47:42.358203,276.82,INR,wallet,8,0,0.29396450694942716,unknown,NON_PAYMENT,0,53,47,6,0.9011058506573245,783,941.6783096458082,0,0,0.0,,NONE,0,1
2026-06-06T01:12:42.580955,3654.11,INR,upi,1,5,10.2764435542603,issuer_down,TRANSIENT,1,9,5,4,0.6203816577210904,566,355.58118727612896,1,0,0.0,168.83171662905838,NONE,0,1
2026-08-10T20:00:05.609995,629.7,INR,upi,20,0,0.7225702312238784,timeout,TRANSIENT,3,39,32,7,0.8260730231816859,812,871.4723812153509,3,1,0.3333333333333333,435.07010784010976,NONE,0,0
2026-05-26T05:30:51.109207,15083.33,USD,card,5,1,51.369921650360986,insufficient_funds,HARD_DECLINE,0,97,76,21,0.7887527931171199,42,293.6218221756623,0,0,0.0,,NONE,0,0
2026-04-08T10:28:08.516301,407.9,INR,card,10,2,0.11455122347495854,network_error,TRANSIENT,2,70,41,29,0.5986802425948663,779,3560.8524084351566,2,0,0.0,318.82744716430597,NONE,0,0
2026-01-22T08:42:53.931007,771.37,INR,wallet,8,3,0.7581365929272493,invalid_card,HARD_DECLINE,0,90,62,28,0.6971792405379545,246,1017.4551752233131,0,0,0.0,,NONE,0,0
2026-01-25T19:52:58.872292,1004.52,INR,upi,19,6,0.20167760217792088,network_error,TRANSIENT,0,17,12,5,0.7500304201900568,765,4980.82082071666,0,0,0.0,,NONE,0,0
2026-05-03T06:15:24.380810,8403.44,INR,upi,6,6,15.840913523056438,card_declined,HARD_DECLINE,0,69,37,32,0.5402485337471379,782,530.4896076712242,0,0,0.0,,NONE,0,0
2026-08-19T02:08:20.360710,5253.12,USD,upi,2,2,2.4829878229506246,timeout,TRANSIENT,0,75,67,8,0.9032738573194129,515,2115.6446888078276,0,0,0.0,,NONE,0,0
2025-11-28T10:04:15.364936,2964.04,INR,card,10,4,0.44646083712455625,none,ABANDONMENT,1,69,58,11,0.8426900521139565,894,6638.969767404425,1,0,0.0,34.067506478915966,NONE,0,0
2026-04-14T23:20:33.822922,1604.19,INR,card,23,1,1.8013866551588975,card_declined,HARD_DECLINE,0,30,26,4,0.8883893020832968,700,890.5306339457128,0,0,0.0,,NONE,0,0
2026-03-30T17:29:04.140801,941.29,INR,card,17,0,0.5904377232629359,card_declined,HARD_DECLINE,1,58,50,8,0.8742867663245484,257,1594.224018746887,1,0,0.0,36.26281630794396,NONE,0,0
2025-11-29T19:34:24.342586,2128.6,INR,upi,19,5,6.845663335910078,issuer_down,TRANSIENT,1,84,79,5,0.9462888970802937,786,310.9413793158759,1,0,0.0,299.74672416810097,NONE,0,0
2025-09-21T23:20:43.855663,1101.28,INR,netbanking,23,6,0.10687990641164097,unknown,NON_PAYMENT,0,37,34,3,0.9449270608706817,991,10303.901238072684,0,0,0.0,,ACTIVE,3,0
2025-09-23T09:28:25.724944,2710.47,INR,card,9,1,0.9034088413421688,issuer_down,TRANSIENT,2,86,80,6,0.9331625255232584,111,3000.2695080702683,2,0,0.0,355.19710104533004,PAST_DUE,3,1
2026-01-05T13:18:53.864750,1296.07,INR,card,13,0,2.830757205668695,insufficient_funds,HARD_DECLINE,2,62,54,8,0.8863481819257248,854,457.85276017475894,2,0,0.0,649.3195767333267,NONE,0,0
2026-08-24T19:20:22.131538,871.0,INR,upi,19,0,0.4474917600978585,auth_failure,MANDATE_ISSUE,1,42,30,12,0.7198517324569795,806,1946.4045545990116,1,0,0.0,107.09145537789803,NONE,0,0
2026-04-23T20:13:42.306731,1949.55,INR,upi,20,3,2.071627108759144,card_declined,HARD_DECLINE,6,30,26,4,0.8876477120730614,808,941.0718713599645,6,3,0.5,654.3924636048024,NONE,0,0
2026-08-05T18:39:07.611693,640.55,INR,netbanking,18,2,0.5165384436218328,card_declined,HARD_DECLINE,0,41,36,5,0.8869121331710554,83,1240.0819491936177,0,0,0.0,,NONE,0,0
2026-02-12T08:44:03.061603,1934.83,INR,card,8,3,3.354495675324042,timeout,TRANSIENT,3,27,22,5,0.8197479302851329,887,576.7871499232434,3,1,0.3333333333333333,341.9986097385648,ACTIVE,0,1
2025-09-23T02:07:59.279980,1511.23,INR,card,2,1,1.357486654552597,network_error,TRANSIENT,1,92,68,24,0.7482219641614963,434,1113.255879851043,1,0,0.0,400.954877319011,NONE,0,0
2025-09-27T11:39:08.623288,4508.16,INR,upi,11,5,0.9517602484296875,network_error,TRANSIENT,2,88,57,31,0.6523769548876602,850,4736.655063539403,2,0,0.0,537.4543568821032,NONE,0,1
2025-11-30T05:34:20.940018,7153.89,INR,upi,5,6,7.870245083071179,timeout,TRANSIENT,3,86,61,25,0.718701994159785,51,908.9793169704395,3,1,0.3333333333333333,379.8656230395161,NONE,0,0
2026-08-29T18:43:00.490534,617.58,INR,upi,18,5,0.41526069084563144,insufficient_funds,HARD_DECLINE,0,55,34,21,0.6196011815670583,765,1487.2103563242845,0,0,0.0,,NONE,0,0
2026-07-24T23:04:11.049341,879.59,INR,upi,23,4,6.972161953575544,none,ABANDONMENT,1,75,40,35,0.5453467696286659,447,126.15742517984951,1,0,0.0,140.41676480590135,NONE,0,0
2026-01-24T17:24:56.424529,2225.31,INR,upi,17,5,0.32949141913032143,invalid_card,HARD_DECLINE,1,97,67,30,0.6996140679420052,779,6753.772240483867,1,0,0.0,457.77949140456667,NONE,0,0
2026-03-17T01:33:59.771529,3805.55,INR,upi,1,1,19.60398536826747,auth_failure,MANDATE_ISSUE,2,7,4,3,0.7116812383242445,39,194.12124262038873,2,1,0.5,30.495331260252915,NONE,0,0
2026-06-03T04:11:44.756709,428.31,INR,upi,4,2,0.9196246045973219,issuer_down,TRANSIENT,0,56,47,9,0.8498740090608582,449,465.7443894593763,0,0,0.0,,NONE,0,0
2025-10-17T20:30:03.401363,287.04,INR,netbanking,20,4,0.1495134170317494,none,ABANDONMENT,1,10,8,2,0.8618091026952994,342,1919.8277030819693,1,0,0.0,271.8324210544798,NONE,0,0
2026-03-31T01:23:27.655770,4032.37,INR,card,1,1,3.7907378112650174,none,ABANDONMENT,2,2,1,1,0.8798597840401967,371,1063.7427859075135,2,0,0.0,555.2589239410696,NONE,0,0
2025-10-07T03:09:51.753221,531.61,INR,card,3,1,0.225296757006942,timeout,TRANSIENT,0,56,28,28,0.5113525581815999,739,2359.5989887400806,0,0,0.0,,NONE,0,0
2025-09-07T06:44:17.495292,794.43,INR,netbanking,6,6,1.6565628645054606,auth_failure,MANDATE_ISSUE,0,98,73,25,0.7467249131634701,473,479.5652595032449,0,0,0.0,,NONE,0,1
2026-07-30T03:01:11.691335,380.61,INR,card,3,3,0.4293051945063271,network_error,TRANSIENT,3,28,24,4,0.8823345483845569,933,886.5720817510178,3,0,0.0,106.00945160488861,NONE,0,1
2026-05-31T04:32:13.816913,2078.64,INR,upi,4,6,3.188770615362226,auth_failure,MANDATE_ISSUE,2,19,15,4,0.7978093419522756,856,651.8625046235502,2,0,0.0,80.70682671352078,NONE,0,0
2026-04-22T23:32:30.721060,1273.04,INR,upi,23,2,1.5821981646405052,timeout,TRANSIENT,0,67,53,14,0.8044488729218681,977,804.602121561208,0,0,0.0,,NONE,0,0
2026-08-16T10:03:00.558026,2872.48,INR,upi,10,6,1.0541413500531644,network_error,TRANSIENT,0,43,31,12,0.7386111195057313,560,2724.9476551272082,0,0,0.0,,ACTIVE,1,1
2026-06-01T03:24:07.924674,5085.36,USD,upi,3,0,6.44595304269179,timeout,TRANSIENT,1,82,46,36,0.5695909154731054,772,788.9229050102396,1,0,0.0,644.2443588726833,NONE,0,0
2026-08-03T19:01:48.761139,4985.1,INR,card,19,0,10.481252745026032,mandate_failed,MANDATE_ISSUE,1,23,21,2,0.9449525732506758,617,475.620626777245,1,0,0.0,31.45336208924313,NONE,0,0
2026-08-21T05:38:20.260480,788.04,INR,upi,5,4,0.48632705313187113,timeout,TRANSIENT,0,77,72,5,0.9367700271049769,870,1620.3910412245093,0,0,0.0,,NONE,0,0
2026-04-09T07:39:09.150948,434.08,INR,upi,7,3,0.6160286949755164,insufficient_funds,HARD_DECLINE,3,35,21,14,0.6250685927065667,666,704.6425004881504,3,0,0.0,659.9483359606127,PAST_DUE,0,0
2026-02-15T17:00:34.776495,2620.62,INR,upi,17,6,5.387688698489733,issuer_down,TRANSIENT,1,38,28,10,0.7425072385982684,913,486.4089494878587,1,0,0.0,399.34141338964884,PAST_DUE,0,1
2026-04-05T03:47:35.101977,591.58,INR,upi,3,6,0.5213313881573011,invalid_card,HARD_DECLINE,0,9,8,1,0.9123040872639003,589,1134.7484794479763,0,0,0.0,,NONE,0,0
2026-04-28T07:16:06.899371,537.76,INR,card,7,1,0.4438418916169246,none,ABANDONMENT,4,66,61,5,0.9290243148039912,964,1211.6026228189726,4,0,0.0,474.62893596291934,NONE,0,0
2026-01-11T08:52:04.586605,1599.61,INR,upi,8,6,0.600329361463083,card_declined,HARD_DECLINE,1,80,69,11,0.8717967434267876,510,2664.553997661444,1,0,0.0,299.83203552794873,NONE,0,0
2026-03-15T08:07:51.949910,400.89,INR,upi,8,6,0.2809393090209698,network_error,TRANSIENT,0,57,47,10,0.8342587735514133,274,1426.9630027817748,0,0,0.0,,NONE,0,0
2025-10-15T17:43:40.696801,582.33,USD,upi,17,2,0.4569164293539587,timeout,TRANSIENT,2,2,1,1,0.7084947626757371,510,1274.4781377709826,2,1,0.5,206.4530862560916,NONE,0,0
2026-02-11T16:11:52.610179,747.19,INR,upi,16,2,0.4795598768639251,network_error,TRANSIENT,0,49,42,7,0.8739974046881012,76,1558.0744679605773,0,0,0.0,,NONE,0,1
2026-08-18T09:32:39.984563,236.25,INR,upi,9,1,0.35977728516524765,none,ABANDONMENT,0,42,39,3,0.9403055320553173,731,656.6562419066815,0,0,0.0,,NONE,0,0
2026-04-02T13:32:16.887289,1049.64,INR,upi,13,3,0.804061970568899,none,ABANDONMENT,3,92,77,15,0.839602662282673,316,1305.4217689929383,3,1,0.3333333333333333,274.35685181059483,ACTIVE,0,1
2026-03-02T10:29:30.926692,921.47,INR,upi,10,0,1.7679531861275914,card_declined,HARD_DECLINE,0,60,58,2,0.9692092060075251,627,521.2072396658463,0,0,0.0,,NONE,0,0
2026-05-28T02:37:05.011924,10718.15,INR,card,2,3,10.134647372537463,invalid_card,HARD_DECLINE,1,24,15,9,0.6599226411320616,496,1057.5750300936659,1,0,0.0,207.92056098302805,NONE,0,0
2026-04-28T04:17:11.043585,2290.43,INR,card,4,1,10.544701302620597,network_error,TRANSIENT,2,83,72,11,0.8703860866365785,453,217.21146329965518,2,0,0.0,459.68214828081045,NONE,0,0
2026-01-07T03:42:42.637157,202.23,INR,upi,3,2,0.07808610854290127,timeout,TRANSIENT,0,36,26,10,0.7350856721962322,775,2589.8332465741055,0,0,0.0,,NONE,0,1
2025-10-16T14:09:38.280644,967.85,USD,netbanking,14,3,0.28450026768752484,none,ABANDONMENT,6,38,30,8,0.8132065316885531,10,3401.9300152751302,6,3,0.5,409.2346989206554,NONE,0,0
2026-03-11T07:55:58.374127,670.03,INR,wallet,7,2,0.5158274270299846,invalid_card,HARD_DECLINE,2,31,26,5,0.8508042741260545,959,1298.9421750174824,2,0,0.0,115.8363973386179,NONE,0,0
2026-03-19T12:49:03.399608,819.23,USD,upi,12,3,0.52110168072661,invalid_card,HARD_DECLINE,1,47,37,10,0.7967317350933315,621,1572.111605661467,1,0,0.0,59.86475035428463,NONE,0,0
2025-10-24T17:08:00.094897,2607.88,INR,upi,17,4,2.625650847386994,timeout,TRANSIENT,4,14,11,3,0.8330045881269318,453,993.2318314886843,4,0,0.0,16.652959225230823,NONE,0,0
2025-09-25T11:29:07.678468,333.59,INR,wallet,11,3,1.4279476350864286,issuer_down,TRANSIENT,0,60,27,33,0.4525121706665822,71,233.61500926454417,0,0,0.0,,NONE,0,0
2025-11-29T14:17:56.797113,888.71,USD,card,14,5,1.5718319919785768,none,ABANDONMENT,1,59,48,11,0.8174845459625878,306,565.3975771808267,1,0,0.0,82.1352952730972,NONE,0,0
2026-03-22T15:36:25.358888,2641.08,INR,upi,15,6,1.3884176777912898,issuer_down,TRANSIENT,0,90,56,34,0.6226579395625679,689,1902.222970973302,0,0,0.0,,NONE,0,0
2025-12-07T05:58:21.744457,893.74,INR,upi,5,6,0.5477820978942478,issuer_down,TRANSIENT,1,80,77,3,0.9650563032950268,180,1631.5611690043606,1,0,0.0,216.6198274990534,NONE,0,0
2026-02-08T07:55:47.517931,340.7,INR,netbanking,7,6,0.19302479954852006,issuer_down,TRANSIENT,1,53,47,6,0.8911177087840525,992,1765.0581728197017,1,0,0.0,629.133109653979,NONE,0,0
2026-02-12T02:12:58.254316,359.15,INR,netbanking,2,3,0.31348744393045963,mandate_failed,MANDATE_ISSUE,1,36,29,7,0.8312709273844531,795,1145.659920209339,1,0,0.0,604.7667195442895,NONE,0,1
2026-06-09T15:28:03.434465,1835.14,INR,upi,15,1,1.038409095455634,invalid_card,HARD_DECLINE,1,31,22,9,0.7185885158308897,584,1767.2610997256106,1,0,0.0,518.9054286179454,NONE,0,0
2026-06-13T18:26:47.233582,203.57,INR,upi,18,5,0.17034305616700282,timeout,TRANSIENT,1,47,30,17,0.6464360068124264,467,1195.0589861462963,1,0,0.0,676.6528652990389,NONE,0,1
2026-08-03T18:13:19.951172,1443.56,INR,card,18,0,5.0823073665458685,none,ABANDONMENT,2,51,35,16,0.703129022423939,983,284.0363433156737,2,1,0.5,60.451322081671464,NONE,0,0
2025-10-08T08:27:38.602425,1049.34,INR,netbanking,8,2,0.5237348715409369,timeout,TRANSIENT,0,84,60,24,0.7237768814857648,578,2003.5709994116364,0,0,0.0,,NONE,0,0
2026-04-14T11:56:16.616785,2344.83,INR,upi,11,1,2.866318069314511,unknown,NON_PAYMENT,2,17,16,1,0.9589756638942925,758,818.0634330511593,2,0,0.0,429.242628009837,ACTIVE,2,0
2026-04-15T20:59:37.730010,1268.61,INR,upi,20,2,2.9989560936949364,timeout,TRANSIENT,4,79,73,6,0.9324432197680044,791,423.0171967729538,4,1,0.25,548.4081271734988,NONE,0,0
2026-07-29T15:11:16.306241,1285.16,INR,upi,15,2,1.0100280717282801,network_error,TRANSIENT,11,100,84,16,0.8466661798559737,613,1272.4002787377344,11,5,0.45454545454545453,141.59917368890729,ACTIVE,3,0
2025-09-11T00:12:59.350655,706.58,INR,card,0,3,2.0819640220647404,invalid_card,HARD_DECLINE,4,38,33,5,0.8797187930257867,140,339.38146505493665,4,1,0.25,82.88534517702665,NONE,0,0
2025-10-27T03:48:30.662394,93.5,INR,upi,3,0,0.2384693910067188,network_error,TRANSIENT,5,52,46,6,0.8863565121678547,815,392.08386286089717,5,3,0.6,301.75819777608586,NONE,0,0
2026-01-20T23:22:20.496752,449.7,INR,upi,23,1,0.46262335739346166,timeout,TRANSIENT,7,82,58,24,0.7181592471244969,577,972.0650564072787,7,3,0.42857142857142855,360.83489698458914,NONE,0,0
2025-11-19T08:13:32.182039,9011.93,INR,upi,8,2,11.117991473358545,auth_failure,MANDATE_ISSUE,0,61,40,21,0.662290873023064,534,810.5717675350635,0,0,0.0,,NONE,0,0
2026-01-04T16:24:48.537806,794.83,INR,upi,16,6,2.6162282300810373,invalid_card,HARD_DECLINE,0,3,2,1,0.8544225451685218,406,303.8075924956212,0,0,0.0,,NONE,0,0
2026-01-11T07:50:22.466536,993.54,INR,upi,7,6,0.3073795649956958,issuer_down,TRANSIENT,0,49,42,7,0.8659816948227109,612,3232.290344395251,0,0,0.0,,NONE,0,1
2026-01-26T21:44:26.245192,384.3,INR,upi,21,0,0.782732912163476,unknown,NON_PAYMENT,1,49,37,12,0.7720085103188218,589,490.97207237369605,1,0,0.0,623.3104839857605,PAST_DUE,3,0
2025-10-30T00:58:42.953040,1117.08,INR,upi,0,3,2.907630881104798,none,ABANDONMENT,0,21,18,3,0.9042636204134348,501,384.18906858478147,0,0,0.0,,NONE,0,0
2026-06-13T20:00:12.361626,1475.21,INR,upi,20,5,3.995298089348404,timeout,TRANSIENT,0,13,11,2,0.9082886179836975,436,369.2365292925097,0,0,0.0,,NONE,0,1
2026-01-13T15:21:36.207186,3997.79,INR,card,15,1,5.2043356493884305,auth_failure,MANDATE_ISSUE,2,78,65,13,0.8444327916890616,170,768.165289352501,2,0,0.0,193.21966465393962,PAST_DUE,3,0
2025-12-28T18:36:57.938623,247.65,INR,card,18,6,0.03336232467689666,timeout,TRANSIENT,3,18,15,3,0.8411720321242011,502,7423.04387953808,3,0,0.0,684.2326827042101,NONE,0,0
2026-04-09T10:26:23.204906,2354.7,INR,card,10,3,1.9558298358332635,none,ABANDONMENT,0,54,48,6,0.9014988673688651,992,1203.9390937079152,0,0,0.0,,ACTIVE,3,1
2026-04-23T01:01:00.573288,73.2,INR,upi,1,3,0.013695187068402675,timeout,TRANSIENT,11,47,45,2,0.9623617305237956,85,5344.943419494131,11,6,0.5454545454545454,344.4664735937532,NONE,0,1
2025-11-30T16:46:06.412050,74.4,INR,card,16,6,0.024317966080262255,timeout,TRANSIENT,2,82,60,22,0.7427648026631162,137,3059.466394288089,2,1,0.5,63.32869606204575,NONE,0,1
2026-01-25T14:21:42.723270,466.58,INR,upi,14,6,0.8615942792706925,auth_failure,MANDATE_ISSUE,1,36,24,12,0.6725097351112419,623,541.5309864811807,1,0,0.0,40.23520519996688,NONE,0,1
2025-09-06T09:20:23.268361,1094.7,INR,wallet,9,5,0.26594563501033097,none,ABANDONMENT,0,40,27,13,0.6772261074665633,957,4116.254812595345,0,0,0.0,,NONE,0,0
2025-11-25T14:32:49.843110,3938.51,INR,card,14,1,8.642584154140192,network_error,TRANSIENT,1,89,68,21,0.7679773469201041,434,455.7097657085901,1,0,0.0,463.4281354437526,NONE,0,0
2025-12-04T21:11:44.322465,892.82,INR,upi,21,3,0.15962890498135554,none,ABANDONMENT,0,22,13,9,0.5931903744708085,759,5593.097315954653,0,0,0.0,,NONE,0,0
2025-09-10T16:59:15.487931,667.82,INR,upi,16,2,1.199822231449099,auth_failure,MANDATE_ISSUE,0,9,8,1,0.9534408825346669,643,556.599121516054,0,0,0.0,,NONE,0,0
2025-09-26T17:28:06.630875,478.37,INR,upi,17,4,0.7364452745166897,timeout,TRANSIENT,0,4,2,2,0.6974549662923253,879,649.566256384688,0,0,0.0,,NONE,0,1
2025-10-16T11:59:15.136703,411.29,INR,upi,11,3,0.5151658019025616,none,ABANDONMENT,0,36,34,2,0.9554334492614742,887,798.3643294664801,0,0,0.0,,NONE,0,0
2025-11-28T00:36:23.524039,1043.06,INR,netbanking,0,4,0.1592462706887105,issuer_down,TRANSIENT,0,19,10,9,0.5307386935524783,252,6549.98070277539,0,0,0.0,,NONE,0,0
2025-10-27T23:48:49.249482,467.83,INR,upi,23,0,0.41579549959349793,mandate_failed,MANDATE_ISSUE,3,89,70,19,0.7880710471930406,423,1125.1444531202803,3,0,0.0,210.71506129691363,NONE,0,0
2025-11-20T22:10:58.144966,714.28,INR,upi,22,3,0.1140198961222431,network_error,TRANSIENT,5,13,9,4,0.7364762505349769,599,6264.520704651454,5,3,0.6,502.05526994745793,PAST_DUE,1,1
2025-10-24T16:07:24.081545,161.07,INR,wallet,16,4,0.07903054143349118,insufficient_funds,HARD_DECLINE,2,95,88,7,0.936711303888901,570,2038.072839669836,2,1,0.5,61.42434602000419,ACTIVE,0,0
2025-11-10T08:34:43.817220,4077.67,INR,card,8,0,57.15934677674012,invalid_card,HARD_DECLINE,3,5,4,1,0.8712231723971245,126,71.33863890934681,3,1,0.3333333333333333,466.39316994086363,NONE,0,0
2026-02-15T03:59:53.671232,3665.48,INR,wallet,3,6,0.8057247537838496,unknown,NON_PAYMENT,4,48,40,8,0.8338132381244482,20,4549.295504185704,4,2,0.5,43.12709456996722,NONE,0,0
2026-08-12T04:40:15.453141,1582.71,INR,netbanking,4,2,2.799909282537454,issuer_down,TRANSIENT,0,28,23,5,0.8490489619027718,971,565.2718857254006,0,0,0.0,,ACTIVE,2,0
2026-07-30T15:46:34.187734,3981.19,INR,upi,15,3,6.542642948392089,mandate_failed,MANDATE_ISSUE,0,77,76,1,0.9948582463094735,239,608.4987414724216,0,0,0.0,,ACTIVE,1,0
2026-07-26T17:23:20.305286,3871.19,USD,upi,17,6,1.8728820266606496,mandate_failed,MANDATE_ISSUE,3,41,35,6,0.8591597945127646,310,2066.969486007795,3,0,0.0,525.0294573179833,NONE,0,1
2026-07-25T14:25:30.515775,214.63,INR,card,14,5,0.036758345483670504,timeout,TRANSIENT,0,18,14,4,0.8278292146641234,509,5838.946154291603,0,0,0.0,,NONE,0,1
2026-04-13T17:37:18.503045,404.45,INR,upi,17,0,0.4777588490617513,insufficient_funds,HARD_DECLINE,0,53,41,12,0.7811805767411804,751,846.556794906637,0,0,0.0,,NONE,0,1
2026-07-04T20:54:26.672581,693.86,INR,card,20,5,0.8890714506627702,insufficient_funds,HARD_DECLINE,0,70,64,6,0.923684239187052,77,780.4322132745943,0,0,0.0,,PAST_DUE,1,0
